English,Hindi,English Word Count,Hindi Word Count
"However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles",आस्ट्रेलिया के पाल हेनली के साथ जोड़ी बनाने वाले पेस मियामी में क्वार्टरफाइनल तक ही पहुंच सके क्योंकि इस दौर में उन्हें भूपति और नोल्स ने हराया था।,23,28
"Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.",और जो शख्स (अपने आमाल का) बदला दुनिया ही में चाहता है तो ख़ुदा के पास दुनिया व आख़िरत दोनों का अज्र मौजूद है और ख़ुदा तो हर शख्स की सुनता और सबको देखता है,26,35
"""The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.","जैव-मंडल में कीड़ों का मूल्य बहुत है, क्योंकि प्रजातियों की समृद्धि के मामले में उनकी संख्या अन्य जीव समूहों से ज़्यादा है।",21,22
Mithali To Anchor Indian Team Against Australia in ODIs,आस्ट्रेलिया के खिलाफ वनडे टीम की कमान मिताली को,9,9
"After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","8 सितम्‍बर, 2016 को माननीय राष्‍ट्रपति की स्‍वीकृति मिलने के बाद 101वां संविधान संशोधन अधिनियम, 2016 अस्तित्‍व में आया",18,19
"""The court has fixed a hearing for February 12",अदालत ने इस मामले में आगे की सुनवाई के लिए एक फरवरी की तारीख़ तय की,9,16
Please select the position where the track should be split.,"जहाँ पर ट्रैक को विभाजित किया जाना है, कृपया वह स्थान चुनें.",10,12
"As per police, armys 22RR, special operation Group (SOG) of police and the Central Reserve Police Force (CRPF) cordoned the village and launched search operation in the area.","इसके तुरंत बाद सेना की 22 राष्ट्रीय राइफल्स (आरआर), सीआरपीएफ और पुलिस के स्पेशल ऑपरेशन ग्रुप (एसओजी) के जवानों द्वारा इलाके की घेराबंदी कर तलाशी अभियान चलाया।",28,27
Jharkhand chief minister Hemant Soren,झारखंड के मुख्यमंत्री हेमंत सोरेन (फोटोः पीटीआई),5,7
"Arvind Kumar, SHO of the sector 55/56 police station, said a case has been registered under section 376-D (gang rape) of the Indian Penal Code.",सेक्टर 55/56 के एसएचओ अरविंद कुमार ने बताया कि इस मामले में आईपीसी की धारा 376-डी (गैंगरेप) के तहत मामला दर्ज कर लिया गया है।,25,25
"Briefing media in New Delhi today, party's State-in-charge, Anil Jain said, after the meeting the party will meet the Governor to stake claim for government formation in the state.","आज नई दिल्ली में मीडिया से बातचीत में पार्टी के राज्य प्रभारी अनिल जैन ने बताया कि बैठक के बाद पार्टी, सरकार के गठन का दावा पेश करने के लिए राज्यपाल से मिलेगी।",29,33
"""Jesus responded, as he taught in the temple, """"How is it that the scribes say that the Christ is the son of David?""","फिर यीशु ने मन्दिर में उपदेश करते हुए यह कहा, कि शास्त्री क्योंकर कहते हैं, कि मसीह दाऊद का पुत्रा है?",23,21
Senior leaders of all major parties held electioneering in favour of their candidates.,सभी मुख्य पार्टियों के वरिष्ठ नेताओं ने अपने-अपने उम्मीदवारों के पक्ष में चुनाव प्रचार किया।,13,15
"Meanwhile, three people came there on a bike.",इसी बीच एक बाइक पर तीन लोग आते दिखाई दिए।,8,10
Katrina shared the video on Instagram.,कटरीना ने ये वीड‍ियो अपनी इंस्‍टास्‍टोरी में शेयर क‍िया है.,6,10
He does this because he is angry at the alleged desecration of the Indian flag,"""वह ऐसा इसलिए करता है, क्योंकि वह भारतीय तिरंगे के कथित अनादर से क्रोधित है",15,15
Attempts to contact Randhawa on his mobile over the past one week have remained futile.,"रंधावा से एक हफ्ते से उनके मोबाईल पर सम्पर्क करने की कोशिश की गयी, लेकिन बात नहीं हो पायी।",15,19
"""The Alto 800 incorporates a Wavefront Design, a more traditional car look, compared to the Nano",नैनो की तुलना में अल्टो 800 का डिज़ाइन वेवफ्रंट है जो पारंपरिक कार की तरह दिखता है।,16,17
"""""""Wunderlich and his wife, Petra, are both gardeners, who themselves graduated from a normal high school, which they attended """"""""not reluctantly,"""""""" Dirk said.""""""",डिर्क और उनकी पत्नी पेट्रा दोनों बागवानी करते हैं और वे दोनों खुद एक सामान्य हाई स्कूल से पढ़े थे.,23,20
"""The Shias venerate him as a member of the family of imams, while the Sunni simply see him as a person of great sanctity.","शियास उन्हें इमाम के परिवार के सदस्य के रूप में पूजा करते हैं, जबकि सुन्नी उन्हें महान पवित्रता के व्यक्ति के रूप में देखते हैं।",24,25
"Hence, we must make sure we ourselves dont become careless, not allow anyone else do so","इसलिए, न खुद कोई लापरवाही करनी है और न ही किसी और को लापरवाही करने देना है",16,17
"Mayawati, Akhilesh Yadav seal pact for 2019 polls: BSP-SP not to contest in Amethi, Raebareli","2019 के लिए मायावती-अखिलेश ने जारी की लिस्ट, जानिए कौन-कहां से लड़ेगा लोकसभा चुनाव",15,14
"""They are not seen anywhere.",दोनों ही कहीं भी दिखाई नहीं पड़ रहे।,5,8
